indice,titulacion,asignatura,especialidad,curso,semestre,grupo,tipo_de_grupo,profesor,dia_de_la_semana,hora_inicio,hora_fin
0,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,Jeronimo Alaminos Prats,Monday,09:30:00,11:30:00
1,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Jeronimo Alaminos Prats,Tuesday,09:30:00,10:30:00
2,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,Jeronimo Alaminos Prats,Wednesday,09:30:00,11:30:00
3,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Theory group,Jeronimo Alaminos Prats,Thursday,09:30:00,10:30:00
4,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,Jeronimo Alaminos Prats,Friday,09:30:00,10:30:00
5,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Jeronimo Alaminos Prats,Monday,10:30:00,11:30:00
6,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,Jeronimo Alaminos Prats,Friday,10:30:00,11:30:00
7,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Theory group,Jeronimo Alaminos Prats,Monday,11:30:00,12:30:00
8,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Theory group,Jeronimo Alaminos Prats,Thursday,11:30:00,12:30:00
9,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Theory group,Jeronimo Alaminos Prats,Friday,11:30:00,12:30:00
10,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Jeronimo Alaminos Prats,Wednesday,12:30:00,13:30:00
11,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Theory group,Jeronimo Alaminos Prats,Tuesday,15:30:00,17:30:00
12,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,Jeronimo Alaminos Prats,Wednesday,15:30:00,17:30:00
13,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Theory group,Jeronimo Alaminos Prats,Thursday,15:30:00,16:30:00
14,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,Jeronimo Alaminos Prats,Friday,16:30:00,17:30:00
15,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Theory group,Jeronimo Alaminos Prats,Monday,17:30:00,18:30:00
16,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,12,Theory group,Jeronimo Alaminos Prats,Thursday,17:30:00,18:30:00
17,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,11,Theory group,Jeronimo Alaminos Prats,Tuesday,18:30:00,19:30:00
18,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,14,Theory group,Jeronimo Alaminos Prats,Wednesday,18:30:00,19:30:00
19,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,13,Theory group,Jeronimo Alaminos Prats,Friday,18:30:00,19:30:00
20,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,David Cabezas Berrido,Monday,09:30:00,11:30:00
21,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,David Cabezas Berrido,Tuesday,09:30:00,10:30:00
22,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,David Cabezas Berrido,Wednesday,09:30:00,11:30:00
23,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Theory group,David Cabezas Berrido,Thursday,09:30:00,10:30:00
24,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,David Cabezas Berrido,Friday,09:30:00,10:30:00
25,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,David Cabezas Berrido,Monday,10:30:00,11:30:00
26,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,David Cabezas Berrido,Friday,10:30:00,11:30:00
27,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Theory group,David Cabezas Berrido,Monday,11:30:00,12:30:00
28,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Theory group,David Cabezas Berrido,Thursday,11:30:00,12:30:00
29,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Theory group,David Cabezas Berrido,Friday,11:30:00,12:30:00
30,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,David Cabezas Berrido,Wednesday,12:30:00,13:30:00
31,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Theory group,David Cabezas Berrido,Tuesday,15:30:00,17:30:00
32,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,David Cabezas Berrido,Wednesday,15:30:00,17:30:00
33,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Theory group,David Cabezas Berrido,Thursday,15:30:00,16:30:00
34,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,David Cabezas Berrido,Friday,16:30:00,17:30:00
35,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Theory group,David Cabezas Berrido,Monday,17:30:00,18:30:00
36,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,12,Theory group,David Cabezas Berrido,Thursday,17:30:00,18:30:00
37,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,11,Theory group,David Cabezas Berrido,Tuesday,18:30:00,19:30:00
38,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,14,Theory group,David Cabezas Berrido,Wednesday,18:30:00,19:30:00
39,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,13,Theory group,David Cabezas Berrido,Friday,18:30:00,19:30:00
40,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,Maria Pilar Munoz Rivas,Monday,09:30:00,11:30:00
41,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Maria Pilar Munoz Rivas,Tuesday,09:30:00,10:30:00
42,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,Maria Pilar Munoz Rivas,Wednesday,09:30:00,11:30:00
43,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Theory group,Maria Pilar Munoz Rivas,Thursday,09:30:00,10:30:00
44,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Theory group,Maria Pilar Munoz Rivas,Friday,09:30:00,10:30:00
45,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Maria Pilar Munoz Rivas,Monday,10:30:00,11:30:00
46,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Theory group,Maria Pilar Munoz Rivas,Friday,10:30:00,11:30:00
47,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Theory group,Maria Pilar Munoz Rivas,Monday,11:30:00,12:30:00
48,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Theory group,Maria Pilar Munoz Rivas,Thursday,11:30:00,12:30:00
49,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Theory group,Maria Pilar Munoz Rivas,Friday,11:30:00,12:30:00
50,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Theory group,Maria Pilar Munoz Rivas,Wednesday,12:30:00,13:30:00
51,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Theory group,Maria Pilar Munoz Rivas,Tuesday,15:30:00,17:30:00
52,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,Maria Pilar Munoz Rivas,Wednesday,15:30:00,17:30:00
53,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Theory group,Maria Pilar Munoz Rivas,Thursday,15:30:00,16:30:00
54,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Theory group,Maria Pilar Munoz Rivas,Friday,16:30:00,17:30:00
55,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Theory group,Maria Pilar Munoz Rivas,Monday,17:30:00,18:30:00
56,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,12,Theory group,Maria Pilar Munoz Rivas,Thursday,17:30:00,18:30:00
57,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,11,Theory group,Maria Pilar Munoz Rivas,Tuesday,18:30:00,19:30:00
58,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,14,Theory group,Maria Pilar Munoz Rivas,Wednesday,18:30:00,19:30:00
59,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,13,Theory group,Maria Pilar Munoz Rivas,Friday,18:30:00,19:30:00
60,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,Jeronimo Alaminos Prats,Monday,09:30:00,11:30:00
61,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Jeronimo Alaminos Prats,Tuesday,09:30:00,10:30:00
62,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,Jeronimo Alaminos Prats,Wednesday,09:30:00,11:30:00
63,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Laboratory group,Jeronimo Alaminos Prats,Thursday,09:30:00,10:30:00
64,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,Jeronimo Alaminos Prats,Friday,09:30:00,10:30:00
65,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Jeronimo Alaminos Prats,Monday,10:30:00,11:30:00
66,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,Jeronimo Alaminos Prats,Friday,10:30:00,11:30:00
67,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Laboratory group,Jeronimo Alaminos Prats,Monday,11:30:00,12:30:00
68,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Laboratory group,Jeronimo Alaminos Prats,Thursday,11:30:00,12:30:00
69,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Laboratory group,Jeronimo Alaminos Prats,Friday,11:30:00,12:30:00
70,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Jeronimo Alaminos Prats,Wednesday,12:30:00,13:30:00
71,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Laboratory group,Jeronimo Alaminos Prats,Tuesday,15:30:00,17:30:00
72,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,Jeronimo Alaminos Prats,Wednesday,15:30:00,17:30:00
73,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Laboratory group,Jeronimo Alaminos Prats,Thursday,15:30:00,16:30:00
74,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,Jeronimo Alaminos Prats,Friday,16:30:00,17:30:00
75,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Laboratory group,Jeronimo Alaminos Prats,Monday,17:30:00,18:30:00
76,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,12,Laboratory group,Jeronimo Alaminos Prats,Thursday,17:30:00,18:30:00
77,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,11,Laboratory group,Jeronimo Alaminos Prats,Tuesday,18:30:00,19:30:00
78,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,14,Laboratory group,Jeronimo Alaminos Prats,Wednesday,18:30:00,19:30:00
79,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,13,Laboratory group,Jeronimo Alaminos Prats,Friday,18:30:00,19:30:00
80,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,David Cabezas Berrido,Monday,09:30:00,11:30:00
81,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,David Cabezas Berrido,Tuesday,09:30:00,10:30:00
82,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,David Cabezas Berrido,Wednesday,09:30:00,11:30:00
83,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Laboratory group,David Cabezas Berrido,Thursday,09:30:00,10:30:00
84,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,David Cabezas Berrido,Friday,09:30:00,10:30:00
85,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,David Cabezas Berrido,Monday,10:30:00,11:30:00
86,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,David Cabezas Berrido,Friday,10:30:00,11:30:00
87,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Laboratory group,David Cabezas Berrido,Monday,11:30:00,12:30:00
88,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Laboratory group,David Cabezas Berrido,Thursday,11:30:00,12:30:00
89,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Laboratory group,David Cabezas Berrido,Friday,11:30:00,12:30:00
90,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,David Cabezas Berrido,Wednesday,12:30:00,13:30:00
91,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Laboratory group,David Cabezas Berrido,Tuesday,15:30:00,17:30:00
92,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,David Cabezas Berrido,Wednesday,15:30:00,17:30:00
93,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Laboratory group,David Cabezas Berrido,Thursday,15:30:00,16:30:00
94,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,David Cabezas Berrido,Friday,16:30:00,17:30:00
95,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Laboratory group,David Cabezas Berrido,Monday,17:30:00,18:30:00
96,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,12,Laboratory group,David Cabezas Berrido,Thursday,17:30:00,18:30:00
97,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,11,Laboratory group,David Cabezas Berrido,Tuesday,18:30:00,19:30:00
98,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,14,Laboratory group,David Cabezas Berrido,Wednesday,18:30:00,19:30:00
99,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,13,Laboratory group,David Cabezas Berrido,Friday,18:30:00,19:30:00
100,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,Maria Pilar Munoz Rivas,Monday,09:30:00,11:30:00
101,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Maria Pilar Munoz Rivas,Tuesday,09:30:00,10:30:00
102,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,Maria Pilar Munoz Rivas,Wednesday,09:30:00,11:30:00
103,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,2,Laboratory group,Maria Pilar Munoz Rivas,Thursday,09:30:00,10:30:00
104,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,A,Laboratory group,Maria Pilar Munoz Rivas,Friday,09:30:00,10:30:00
105,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Maria Pilar Munoz Rivas,Monday,10:30:00,11:30:00
106,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,B,Laboratory group,Maria Pilar Munoz Rivas,Friday,10:30:00,11:30:00
107,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,7,Laboratory group,Maria Pilar Munoz Rivas,Monday,11:30:00,12:30:00
108,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,5,Laboratory group,Maria Pilar Munoz Rivas,Thursday,11:30:00,12:30:00
109,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,4,Laboratory group,Maria Pilar Munoz Rivas,Friday,11:30:00,12:30:00
110,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,C,Laboratory group,Maria Pilar Munoz Rivas,Wednesday,12:30:00,13:30:00
111,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,E,Laboratory group,Maria Pilar Munoz Rivas,Tuesday,15:30:00,17:30:00
112,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,Maria Pilar Munoz Rivas,Wednesday,15:30:00,17:30:00
113,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,9,Laboratory group,Maria Pilar Munoz Rivas,Thursday,15:30:00,16:30:00
114,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,D,Laboratory group,Maria Pilar Munoz Rivas,Friday,16:30:00,17:30:00
115,Bachelor'S Degree in Computer Engineering,Calculus,,First academic year,First semester,10,Laboratory group,Maria Pilar Munoz Rivas,Monday,17:30:00,18:30:00
