indice,titulacion,asignatura,especialidad,curso,semestre,grupo,tipo_de_grupo,profesor,dia_de_la_semana,hora_inicio,hora_fin
0,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,B,Teoria,Jerónimo Alaminos Prats,Lunes,09:30:00,11:30:00
1,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,C,Teoria,Jerónimo Alaminos Prats,Martes,09:30:00,10:30:00
2,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,A,Teoria,Jerónimo Alaminos Prats,Miércoles,09:30:00,11:30:00
3,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,2,Teoria,Jerónimo Alaminos Prats,Jueves,09:30:00,10:30:00
4,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,A,Teoria,Jerónimo Alaminos Prats,Viernes,09:30:00,10:30:00
5,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,C,Teoria,Jerónimo Alaminos Prats,Lunes,10:30:00,11:30:00
6,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,B,Teoria,Jerónimo Alaminos Prats,Viernes,10:30:00,11:30:00
7,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,7,Teoria,Jerónimo Alaminos Prats,Lunes,11:30:00,12:30:00
8,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,5,Teoria,Jerónimo Alaminos Prats,Jueves,11:30:00,12:30:00
9,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,4,Teoria,Jerónimo Alaminos Prats,Viernes,11:30:00,12:30:00
10,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,C,Teoria,Jerónimo Alaminos Prats,Miércoles,12:30:00,13:30:00
11,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,E,Teoria,Jerónimo Alaminos Prats,Martes,15:30:00,17:30:00
12,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,D,Teoria,Jerónimo Alaminos Prats,Miércoles,15:30:00,17:30:00
13,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,9,Teoria,Jerónimo Alaminos Prats,Jueves,15:30:00,16:30:00
14,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,D,Teoria,Jerónimo Alaminos Prats,Viernes,16:30:00,17:30:00
15,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,10,Teoria,Jerónimo Alaminos Prats,Lunes,17:30:00,18:30:00
16,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,12,Teoria,Jerónimo Alaminos Prats,Jueves,17:30:00,18:30:00
17,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,11,Teoria,Jerónimo Alaminos Prats,Martes,18:30:00,19:30:00
18,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,14,Teoria,Jerónimo Alaminos Prats,Miércoles,18:30:00,19:30:00
19,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,13,Teoria,Jerónimo Alaminos Prats,Viernes,18:30:00,19:30:00
20,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,B,Teoria,David Cabezas Berrido,Lunes,09:30:00,11:30:00
21,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,C,Teoria,David Cabezas Berrido,Martes,09:30:00,10:30:00
22,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,A,Teoria,David Cabezas Berrido,Miércoles,09:30:00,11:30:00
23,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,2,Teoria,David Cabezas Berrido,Jueves,09:30:00,10:30:00
24,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,A,Teoria,David Cabezas Berrido,Viernes,09:30:00,10:30:00
25,Grado en Ingenieria Informatica,Calculo,,Primer curso,Primer semestre,C,Teoria,David Cabezas Berrido,Lunes,10:30:00,11:30:00
